553	2896	2906
553	2899	2896
553	2900	2886
553	2901	2875
553	2901	2863
553	2901	2849
553	2901	2830
553	2901	2805
553	2900	2777
553	2899	2749
553	2897	2721
553	2894	2692
551	2892	2665
548	2891	2640
543	2890	2612
536	2889	2585
525	2889	2556
512	2889	2527
497	2890	2498
481	2891	2472
463	2892	2449
448	2893	2427
433	2894	2406
419	2895	2388
407	2895	2373
394	2895	2361
379	2895	2351
363	2894	2342
344	2893	2336
326	2891	2329
308	2890	2321
291	2889	2313
275	2888	2307
258	2887	2302
242	2887	2296
225	2886	2288
210	2883	2281
193	2881	2273
175	2879	2267
157	2877	2260
139	2875	2256
121	2873	2254
103	2871	2253
85	2868	2253
68	2864	2253
54	2859	2253
39	2853	2253
24	2846	2253
10	2839	2253
7	2487	2408
17	2477	2419
28	2466	2427
41	2458	2435
53	2449	2442
66	2441	2447
78	2436	2449
90	2432	2450
102	2430	2451
111	2429	2451
121	2428	2451
130	2426	2451
139	2425	2451
148	2425	2452
156	2425	2452
165	2425	2453
174	2425	2453
184	2424	2453
194	2424	2453
204	2424	2453
214	2424	2453
223	2424	2453
232	2425	2453
240	2424	2453
248	2425	2453
257	2424	2453
265	2424	2453
274	2424	2453
282	2424	2454
293	2424	2456
304	2422	2458
315	2420	2460
327	2418	2463
338	2415	2467
351	2410	2471
366	2404	2476
378	2399	2483
390	2394	2488
400	2389	2493
409	2385	2497
416	2380	2502
422	2374	2505
428	2369	2511
434	2365	2514
441	2360	2518
449	2358	2519
456	2355	2522
464	2353	2524
472	2351	2525
482	2351	2525
490	2351	2526
498	2351	2527
507	2351	2527
517	2351	2527
527	2351	2527
536	2351	2527
546	2351	2527
557	2351	2526
567	2351	2527
579	2351	2527
591	2351	2528
602	2353	2530
615	2354	2531
628	2355	2533
639	2359	2534
651	2363	2534
662	2366	2534
672	2370	2535
682	2373	2539
690	2377	2542
698	2382	2547
705	2386	2553
711	2391	2559
718	2396	2567
725	2402	2575
732	2408	2582
741	2415	2590
749	2421	2597
759	2427	2604
771	2432	2610
784	2436	2614
800	2439	2618
816	2442	2622
834	2444	2624
852	2445	2627
870	2445	2629
888	2445	2632
905	2445	2636
922	2443	2640
936	2443	2645
949	2441	2650
962	2441	2654
970	2441	2657
977	2441	2661
979	2442	2664
979	2442	2668
979	2443	2672
979	2443	2677
979	2444	2682
979	2447	2688
979	2450	2696
979	2454	2702
979	2458	2709
979	2464	2715
979	2470	2721
979	2477	2727
979	2486	2733
980	2494	2740
983	2504	2748
988	2514	2758
996	2526	2768
1005	2538	2779
1016	2548	2788
1028	2557	2796
1035	2563	2801
1042	2569	2805
1048	2574	2809
1049	2581	2814
1049	2589	2820
1049	2596	2828
1049	2606	2838
1049	2614	2848
1049	2623	2860
1049	2631	2871
1049	2640	2882
1049	2648	2894
1049	2658	2908
1049	2667	2923
1049	2679	2938
1049	2691	2950
1049	2702	2957
1049	2713	2961
1049	2723	2962
1049	2733	2963
1051	2743	2962
1058	2754	2963
1070	2764	2966
1085	2773	2971
1104	2780	2974
1122	2786	2974
1140	2791	2974
1152	2796	2973
